id,name,province_id
1536,ปลายพระยา,95
1014,ค้อวัง,89
1475,เขาชัยสน,101
1017,จอมบึง,111
1374,ตลิ่งชัน,151
1029,ดอนสัก,150
1710,เมืองชัยนาท,97
1108,วังทอง,120
1021,ชื่นชม,133
1552,วังจันทร์,91
1549,ลานกระบือ,130
1375,ตะพานหิน,102
1025,ดอนจาน,129
1147,แม่ลาว,126
1533,ปทุมรัตต์,122
1078,ประเวศ,151
1214,นาโพธิ์,132
1789,เฉลิมพระเกียรติ,152
1026,ดอนตาล,121
1797,เมืองสุพรรณบุรี,143
1307,หนองโดน,112
1028,ดอนพุด,112
1148,แม่วาง,138
1680,ดำเนินสะดวก,111
891,พาน,126
1167,ไพรบึง,123
1030,ดินแดง,151
999,กระนวน,106
1513,ด่านขุนทด,141
1746,โคกศรีสุพรรณ,105
1031,ตะโหมด,101
1032,ตากฟ้า,131
1657,เมืองชุมพร,86
1635,สองพี่น้อง,143
1142,เสาไห้,112
1451,สันกำแพง,138
1199,ท่าช้าง,135
1414,ปางมะผ้า,145
1319,เขาย้อย,127
1034,ทับปุด,88
1131,หัวหิน,153
1721,โป่งน้ำร้อน,117
1035,ทัพทัน,137
1194,ตาพระยา,113
1298,หนองฉาง,137
1654,เจริญศิลป์,105
1189,ซับใหญ่,107
1043,ท่ายาง,127
1796,เมืองปราจีนบุรี,142
1437,วัดโบสถ์,120
1038,ท่าฉาง,150
1781,เมืองอุทัยธานี,137
1152,แม่อาย,138
1611,บางกระทุ่ม,120
1632,ศรีมหาโพธิ,142
1449,สวรรคโลก,114
1202,ท่าม่วง,128
1344,แวงน้อย,106
1413,ปากเกร็ด,109
1283,สวนผึ้ง,111
1741,เมืองสระแก้ว,113
1690,พรานกระต่าย,130
1274,วังโป่ง,139
1347,โกรกพระ,131
1641,หนองบัวแดง,107
1051,นาด้วง,79
1728,พิบูลย์รักษ์,125
980,ลับแล,136
1228,บางแก้ว,101
1787,ประจักษ์ศิลปาคม,125
1682,ทุ่งศรีอุดม,149
1497,โคกโพธิ์,110
1417,พนัสนิคม,96
1593,โพนนาแก้ว,105
1311,หล่มสัก,139
1111,ศรีนคร,114
1337,แม่จริม,82
1517,ทองแสนขัน,136
1564,หนองวัวซอ,125
1705,หนองม่วงไข่,85
1429,ร้องกวาง,85
1130,หนองแค,112
1060,บัวลาย,141
1062,บางขัน,152
1530,บ้านสร้าง,142
1406,บ้านแหลม,127
1543,ภาษีเจริญ,151
1253,พระโขนง,151
1508,คลองสามวา,151
1096,พานทอง,96
1063,บางบอน,151
1066,บางพลี,146
1346,แหลมงอบ,81
1221,บางคนที,147
1755,เมืองปทุมธานี,119
1779,เมืองสิงห์บุรี,135
1393,บึงนาราง,102
1222,บางคล้า,140
1171,กะเปอร์,90
1226,บางพลัด,151
1737,เมืองนนทบุรี,109
1229,บางใหญ่,109
1602,คลองเขื่อน,140
1521,บันนังสตา,83
1071,บาเจาะ,118
1227,บางระกำ,120
1300,หนองพอก,122
1551,วชิรบารมี,102
1507,ขามทะเลสอ,141
1046,ธนบุรี,151
1458,หนองม่วง,104
1072,บ่อทอง,96
1808,เมืองประจวบคีรีขันธ์,153
1473,เกาะสมุย,150
1603,ชาติตระการ,120
1701,สว่างอารมณ์,137
1436,วัดสิงห์,97
1484,เมืองปาน,92
1074,บ้านคา,111
1075,บ้านธิ,93
1444,ศรีสำโรง,114
1123,สามเงา,78
1439,วิหารแดง,112
1182,คูเมือง,132
1560,สันป่าตอง,138
1588,เหนือคลอง,95
1191,ดอยหลวง,126
1273,วังเจ้า,78
1399,บ้านด่าน,132
1645,ห้วยทับทัน,123
1397,บ้านกรวด,132
1080,ปลาปาก,99
892,ลอง,85
1094,พะโต๊ะ,86
1082,ปากท่อ,111
1433,วังสะพุง,79
1083,ปากพลี,108
1187,ชานุมาน,144
1369,ดอกคำใต้,87
1784,เวียงเชียงรุ้ง,126
1085,ป่าบอน,101
1408,บ้านโฮ่ง,93
1512,ดอยสะเก็ด,138
1086,ป่าแดด,126
1254,พรเจริญ,100
1087,ป่าโมก,116
1285,สันทราย,138
1646,อรัญประเทศ,113
1146,แม่ลาน,110
1114,สมเด็จ,129
1412,ปากพะยูน,101
1089,พนมทวน,128
1419,พรหมบุรี,135
1775,เมืองนครสวรรค์,131
1165,ไทรงาม,130
1212,นาหม่อม,94
1098,ฟากท่า,136
1520,นิคมพัฒนา,91
1236,บ้านบึง,96
1496,โคกเจริญ,104
1694,วังน้ำเขียว,141
1208,ธัญบุรี,119
1102,ร่องคำ,129
883,พล,106
1769,บ้านด่านลานหอย,114
1107,ลำสนธิ,104
1470,ห้างฉัตร,92
1372,ด่านช้าง,143
1800,โพธิ์ประทับช้าง,102
1772,เมืองกาญจนบุรี,128
1434,วังเหนือ,92
1621,ภักดีชุมพล,107
1630,วังสมบูรณ์,113
1357,คลองขลุง,130
1299,หนองบัว,131
1764,เวียงหนองล่อง,93
1122,สามชุก,143
1245,บ้านไร่,137
1160,โนนแดง,141
906,ตรอน,136
1644,ห้วยกระเจา,128
1218,บางกรวย,109
1261,มโนรมย์,97
1422,ภูกระดึง,79
1112,ศรีเทพ,139
1421,พุทธมณฑล,98
1459,หนองหงส์,132
1420,พระทองคำ,141
1403,บ้านแท่น,107
1116,สระใคร,115
1368,ช้างกลาง,152
1557,ศรีสมเด็จ,122
1192,ดอยหล่อ,138
1176,คลองลาน,130
1120,สัตหีบ,96
1126,สายไหม,151
1140,เขาพนม,95
1305,หนองแซง,112
1550,ลำปลายมาศ,132
1765,เหล่าเสือโก้ก,149
1232,บ่อพลอย,128
1636,สังขละบุรี,128
1666,เสนางคนิคม,144
1573,เชียงขวัญ,122
1492,แก้งคร้อ,107
1173,กุยบุรี,153
1255,พุทไธสง,132
1617,ปางศิลาทอง,130
1133,ห้วยคต,137
1432,วังวิเศษ,80
1139,เขาค้อ,139
1321,เคียนซา,150
896,สอง,85
1532,บ้านโพธิ์,140
1178,คลองหาด,113
1495,โคกสำโรง,104
1643,หนองหญ้าไซ,143
1219,บางกล่ำ,94
1518,ท่าสองยาง,78
1016,จอมทอง,138
1119,สะเมิง,138
1150,แม่สาย,126
887,ปาย,145
1722,กัลยาณิวัฒนา,138
