id,name,code,district_id
1332,กาบิน,34270,1677
1333,กาหลง,96210,1280
1334,กาหลง,74000,1778
1335,กำปัง,30220,1161
1336,กำพวน,85120,1455
1337,กำพี้,44130,956
1338,กำแพง,45150,1649
1339,กำแพง,33120,1732
1340,กำแพง,91110,917
1341,กำแมด,35140,1003
1342,กำโลน,80230,1105
1343,กุดบง,43120,1504
1344,กุดยม,36110,1257
1345,กุดไห,47180,1004
1346,กุศกร,34130,1681
1347,ขมิ้น,47000,1718
1348,ขมิ้น,46000,1773
1349,ขะยูง,33120,1732
1350,ขุนคง,50230,992
1351,ขุหลุ,34130,1681
1352,คมบาง,22000,1753
1353,ครึ่ง,57140,1477
1354,ควนรู,90180,1265
1355,ควนโส,90220,1362
1356,คอรุม,53120,967
1357,คอแลน,34230,1231
1358,คำบ่อ,47150,1555
1359,คำพระ,37240,1464
1360,คำพี้,48130,912
1361,คำเตย,48000,1712
1362,คำเตย,35120,1505
1363,คำแคน,40160,1545
1364,คำแมด,40170,943
1365,คำโพน,37110,1689
1366,คำไผ่,35120,1505
1367,คำไหล,34250,1730
1368,คุริง,86140,1045
1369,คูขาด,30260,881
1370,คูขุด,90190,1282
1371,คูซอด,33000,1759
1372,คูตัน,32210,1172
1373,คูบัว,70000,1739
1374,ฆะมัง,66000,1715
1375,ฆะมัง,60120,1023
1376,งัวบา,44120,1438
1377,จองคำ,58000,1799
1378,จอมพล,10900,1184
1379,จะรัง,94150,1262
1380,จะแนะ,96220,939
1381,จะแหน,90210,1559
1382,จันดี,80150,902
1383,จำลอง,14150,1154
1384,จุมพล,43120,1504
1385,ชนแดน,67150,940
1386,ชนแดน,55160,1117
1387,ชะมวง,93110,1180
1388,ชะมาย,80110,1037
1389,ชะรัด,93000,935
1390,ชะอวด,80180,941
1391,ชะเมา,80140,1250
1392,ชะแมบ,13170,1271
1393,ชะแล้,90280,1289
1394,ชะโนด,49150,1565
1395,ชัยพร,38000,1713
1396,ชากบก,21120,1398
1397,ชากพง,21110,931
1398,ชายนา,13110,929
1399,ชำฆ้อ,21110,1474
1400,ชำราก,23000,1580
1401,ชำแระ,70120,1349
1402,ชิงโค,90280,1289
1403,ชีทวน,34150,1476
1404,ชีลอง,36000,1735
1405,ชีวาน,30110,969
1406,ชีวึก,30290,1601
1407,ชุมพร,45250,1141
1408,ชุมพล,93000,1697
1409,ชุมพล,26120,1471
1410,ชุมพล,90190,1282
1411,ชุมแพ,40130,942
1412,ชุมโค,86160,960
1413,ช่อแล,50150,1153
1414,ช่อแฮ,54000,1585
1415,ซำยาง,40220,1128
1416,ณรงค์,32150,1440
1417,ดงขุย,67150,940
1418,ดงคอน,17140,1446
1419,ดงคู่,64130,1700
1420,ดงดวน,44180,949
1421,ดงบัง,37000,1431
1422,ดงบัง,44180,949
1423,ดงบัง,25130,1616
1424,ดงบัง,36180,1011
1425,ดงบัง,38220,1527
1426,ดงพญา,55220,1396
1427,ดงมอน,49000,1757
1428,ดงมูล,46220,1640
1429,ดงยาง,44180,949
1430,ดงรัก,33140,1256
1431,ดงลาน,40220,1128
1432,ดงลาน,45000,1758
1433,ดงลิง,46130,1169
1434,ดงหมู,49150,1565
1435,ดงเจน,56000,1423
1436,ดงแดง,45180,1767
1437,ดอนกำ,17140,1446
1438,ดอนคา,60160,1200
1439,ดอนคา,70160,959
1440,ดอนคา,71170,1136
1441,ดอนยอ,26000,1736
1442,ดอนไฟ,52150,996
1443,ดินดำ,40150,1259
1444,ดินดำ,45000,1020
1445,ดีลัง,15140,1542
1446,ดุสิต,10300,944
1447,ดุสิต,80260,1515
1448,ตกพรม,22110,900
1449,ตรำดม,32220,981
1450,ตะกรบ,84110,933
1451,ตะกาง,23000,1580
1452,ตะกุด,18000,1740
1453,ตะค่า,72150,1524
1454,ตะดอบ,33000,1759
1455,ตะปอน,22110,900
1456,ตะปาน,84130,1097
1457,ตะลุง,13240,1717
1458,ตะเสะ,92120,1465
1459,ตะแพน,93190,1441
1460,ตะโละ,94150,1262
1461,ตากตก,63120,1235
1462,ตากูก,32000,1751
1463,ตาขัน,21120,1398
1464,ตาขีด,60180,1610
1465,ตาคลี,60140,946
1466,ตาตุม,32150,986
1467,ตานิม,13220,1387
1468,ตาลาน,13120,1088
1469,ตาวัง,32230,1061
1470,ตาสัง,60180,1610
1471,ตาอุด,33140,1175
1472,ตาเกษ,33120,1732
1473,ตาเกา,34260,1215
1474,ตาเซะ,95000,1582
1475,ตาเบา,32140,1079
1476,ตาเสา,31000,1314
1477,ตาแกะ,94150,1262
1478,ตาโกน,33120,1708
1479,ตำตัว,82110,1514
1480,ตำนาน,93000,1714
1481,ตำหรุ,76150,1239
1482,ต้นธง,51000,1664
1483,ทับมา,21000,1662
1484,ทับยา,16110,1648
1485,ทากาศ,51140,997
1486,ท่าคา,75110,1135
1487,ท่าชี,84120,1529
1488,ท่าดี,80230,1105
1489,ท่าตอ,13150,1101
1490,ท่าธง,95140,979
1491,ท่านา,82170,898
1492,ท่าผา,70110,1407
1493,ท่าผา,50270,1343
1494,ท่าผา,52130,1137
1495,ท่าพล,67000,1783
1496,ท่าแค,93000,1714
1497,ท่าแค,13240,1717
1498,ท่าแพ,91150,947
1499,ท่าโพ,61130,1704
1500,ท่าไห,34150,1476
1501,ธงชัย,76000,1763
1502,ธงชัย,77140,1391
1503,ธัญญา,46130,1169
1504,ธารโต,95130,948
1505,นกออก,30150,1411
1506,นนทรี,25110,1674
1507,นากอก,49130,1686
1508,นากอก,39180,1698
1509,นาขอม,60220,1168
1510,นาขาม,48170,1329
1511,นาขาม,46110,1676
1512,นาขุม,53180,1243
1513,นาข่า,41000,1761
1514,นาข่า,44120,1438
1515,นาข่า,40160,1545
1516,นาข่า,43110,1041
1517,นาคาย,34330,1033
1518,นาคู่,48130,912
1519,นางรำ,30180,1077
1520,นางัว,48180,1053
1521,นางัว,41210,1059
1522,นางัว,48140,1241
1523,นางาม,48170,1329
1524,นางาม,45120,1332
1525,นางาม,40160,1545
1526,นางแล,57000,1762
1527,นาจาน,40220,1128
1528,นาจิก,37000,1798
1529,นาซาว,55000,1581
1530,นาดูน,44180,949
1531,นาตาล,46190,1381
1532,นาตาล,47260,1325
1533,นาตาล,34170,950
1534,นาทวี,90160,951
1535,นาทอง,44160,1480
1536,นาทอน,91120,1379
1537,นาทัน,46180,1013
1538,นาทับ,90130,901
1539,นานวน,32160,894
1540,นานวล,45140,1090
1541,นานาค,96110,945
1542,นาบอน,46180,1013
1543,นาบอน,80220,952
1544,นาบัว,65120,1047
1545,นาบัว,41150,928
1546,นาบัว,32000,1760
1547,นาปัง,55000,1258
1548,นาป่า,67000,1783
1549,นาป่า,20000,1709
1550,นาผือ,37000,1798
1551,นาฝาย,36000,1735
1552,นาฝาย,40350,1424
1553,นาพญา,86110,1310
1554,นาพรุ,80000,1252
1555,นาพละ,92000,1579
1556,นาพิน,34130,1681
1557,นาพึง,42170,1055
1558,นาพูน,54160,1270
1559,นาพู่,41150,928
1560,นายาง,53120,967
1561,นายาง,52170,1113
1562,นายาง,76120,904
1563,นายาว,18120,1619
1564,นายูง,41230,1277
1565,นายูง,41380,953
1566,นาวัง,37000,1798
1567,นาสวน,71220,1633
1568,นาสัก,86130,895
1569,นาสัก,52000,1342
1570,นาสาร,80000,1252
1571,นาสาร,84120,1529
1572,นาอาน,42000,1486
1573,นาอิน,53120,967
1574,นาอ้อ,42000,1486
1575,นาเตย,82120,1607
1576,นาแขม,42000,1486
1577,นาแขม,25110,1674
1578,นาแซง,67120,1463
1579,นาแซง,45120,1332
1580,นาแต้,47250,1364
1581,นาแต้,37000,1798
1582,นาแพง,40160,1720
1583,นาแวง,34170,1138
1584,นาแสง,38210,1279
1585,นาโคก,74000,1778
1586,นาโฉง,18000,1740
1587,นาโสก,49000,1757
1588,นาโสม,15130,1367
1589,นาโส่,35140,1003
1590,นาใต้,84240,1615
1591,นาไหม,41190,1234
1592,น้ำคำ,33000,1759
1593,น้ำคำ,45130,1639
1594,น้ำคำ,35120,1505
1595,น้ำชำ,54000,1293
1596,น้ำชำ,54000,1585
1597,น้ำดำ,94140,1605
1598,น้ำตก,55150,1052
1599,น้ำตก,80110,1037
1600,น้ำพุ,70000,1739
1601,น้ำพุ,84120,1529
1602,น้ำใส,45180,1767
1603,บงตัน,50260,1193
1604,บงใต้,47110,1702
1605,บรบือ,44130,956
1606,บะยาว,41280,1553
1607,บักได,32140,1416
1608,บัวคำ,45230,1500
1609,บางคา,24120,1428
1610,บางงา,15150,1203
1611,บางดี,92130,1313
1612,บางนบ,80170,1132
1613,บางนา,10260,957
1614,บางนา,13150,1101
1615,บางปอ,96000,1754
1616,บางปู,94150,1262
1617,บางปู,10280,1801
1618,บางมด,10140,1198
1619,บางมด,10150,1015
1620,บางยอ,10130,1541
1621,บางสน,86160,960
1622,บางแค,75110,1135
1623,บางแค,10160,958
1624,บางแพ,70160,959
1625,บาโงย,95140,979
1626,บาโลย,94150,1262
1627,บาโหย,90210,1559
1628,บึงบา,12170,1461
1629,บึงแก,35130,1544
1630,บุสูง,33270,1110
1631,บูกิต,96130,1655
1632,บ่อพุ,22120,1207
1633,ปงดอน,52120,1143
1634,ปงเตา,52110,884
1635,ปล้อง,57160,926
1636,ปวนพุ,42190,1303
1637,ปอพาน,44170,1213
1638,ปอแดง,40180,903
1639,ปะอาว,34000,1804
1640,ปะอาว,33120,1732
1641,ปังกู,31140,1534
1642,ปัถวี,22150,972
1643,ปันแต,93110,1180
1644,ปากคม,92130,1313
1645,ปากชม,42150,961
1646,ปากตม,42110,1478
1647,ปากรอ,90280,1289
1648,ปานัน,94140,915
1649,ปุยุด,94000,1738
1650,ปุโรง,95000,1354
1651,ปูโยะ,96120,1562
